location,countryname,year,actor,location_wdi,location_un,violence,protest,sanction,relaxation,palt,pdem,pmar,pobs,ppro,sral,stri,abdu,aeri,assa,beat,cbio,cbru,conc,corp,coup,grpg,htak,jack,maim,mine,pass,pexe,raid,riot,sbom,sexa,vbom,bana,cens,moni,poar,dmin,emsa,rcur,rele,rpol,rrpe,rrpr,rsan
AFG,Afghanistan,1990,civil,AFG,4,64,0,0,0,0,0,0,0,0,0,0,0,33,0,0,0,0,0,0,0,2,3,0,0,0,2,13,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1990,state,AFG,4,27,2,4,1,0,0,0,0,0,2,0,0,7,0,0,0,0,0,0,3,0,0,0,0,0,6,5,6,0,0,0,0,1,1,0,2,0,0,1,0,0,0,0,0
AFG,Afghanistan,1990,unk_,AFG,4,24,0,0,0,0,0,0,0,0,0,0,0,13,0,0,0,0,0,0,0,3,0,0,0,0,2,0,1,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1991,civil,AFG,4,62,0,1,3,0,0,0,0,0,0,0,2,28,0,0,0,0,0,1,0,0,3,0,1,0,3,9,15,0,0,0,0,0,0,0,1,0,0,0,1,0,2,0,0
AFG,Afghanistan,1991,state,AFG,4,33,0,1,1,0,0,0,0,0,0,0,0,9,0,0,0,0,0,1,1,1,0,0,0,0,6,4,11,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
AFG,Afghanistan,1991,unk_,AFG,4,17,0,0,0,0,0,0,0,0,0,0,0,7,0,0,0,0,0,0,0,5,0,0,0,1,2,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1992,civil,AFG,4,62,8,0,4,2,0,1,0,1,4,0,1,10,0,1,0,0,0,0,2,3,2,0,0,0,4,9,30,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,0
AFG,Afghanistan,1992,state,AFG,4,56,0,5,7,0,0,0,0,0,0,0,0,1,1,0,0,0,1,4,0,1,4,0,0,0,17,7,20,0,0,0,0,1,0,1,3,0,0,0,0,0,5,2,0
AFG,Afghanistan,1992,unk_,AFG,4,58,0,0,0,0,0,0,0,0,0,0,0,26,0,0,0,0,0,0,0,11,0,0,0,0,3,1,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1993,civil,AFG,4,51,8,1,5,0,4,1,0,1,1,1,1,13,0,0,0,0,0,0,0,2,4,0,0,0,5,7,19,0,0,0,0,1,0,0,0,0,0,0,0,0,4,1,0
AFG,Afghanistan,1993,state,AFG,4,57,1,2,4,0,0,0,0,0,1,0,0,10,1,0,0,0,0,2,0,4,0,0,0,0,17,1,22,0,0,0,0,0,0,0,2,0,0,0,1,0,3,0,0
AFG,Afghanistan,1993,unk_,AFG,4,70,0,0,0,0,0,0,0,0,0,0,0,33,1,0,0,0,0,0,0,17,0,0,0,3,6,1,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
AFG,Afghanistan,1994,civil,AFG,4,44,2,0,8,0,2,0,0,0,0,0,0,21,0,0,0,0,0,0,0,0,2,2,0,0,8,1,10,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0
