"Series Code","Topic","Indicator Name","Short definition","Long definition","Unit of measure","Periodicity","Base Period","Other notes","Aggregation method","Limitations and exceptions","Notes from original source","General comments","Source","Statistical concept and methodology","Development relevance","Related source links","Other web links","Related indicators","License Type",
"IQ.CPA.BREG.XQ","Public Sector: Policy & institutions","CPIA business regulatory environment rating (1=low to 6=high)","","Business regulatory environment assesses the extent to which the legal, regulatory, and policy environments help or hinder private businesses in investing, creating jobs, and becoming more productive.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.DEBT.XQ","Public Sector: Policy & institutions","CPIA debt policy rating (1=low to 6=high)","","Debt policy assesses whether the debt management strategy is conducive to minimizing budgetary risks and ensuring long-term debt sustainability.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.ECON.XQ","Public Sector: Policy & institutions","CPIA economic management cluster average (1=low to 6=high)","","The economic management cluster includes macroeconomic management, fiscal policy, and debt policy.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.ENVR.XQ","Public Sector: Policy & institutions","CPIA policy and institutions for environmental sustainability rating (1=low to 6=high)","","Policy and institutions for environmental sustainability assess the extent to which environmental policies foster the protection and sustainable use of natural resources and the management of pollution.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.FINQ.XQ","Public Sector: Policy & institutions","CPIA quality of budgetary and financial management rating (1=low to 6=high)","","Quality of budgetary and financial management assesses the extent to which there is a comprehensive and credible budget linked to policy priorities, effective financial management systems, and timely and accurate accounting and fiscal reporting, including timely and audited public accounts.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.FINS.XQ","Public Sector: Policy & institutions","CPIA financial sector rating (1=low to 6=high)","","Financial sector assesses the structure of the financial sector and the policies and regulations that affect it.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.FISP.XQ","Public Sector: Policy & institutions","CPIA fiscal policy rating (1=low to 6=high)","","Fiscal policy assesses the short- and medium-term sustainability of fiscal policy (taking into account monetary and exchange rate policy and the sustainability of the public debt) and its impact on growth.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.GNDR.XQ","Public Sector: Policy & institutions","CPIA gender equality rating (1=low to 6=high)","","Gender equality assesses the extent to which the country has installed institutions and programs to enforce laws and policies that promote equal access for men and women in education, health, the economy, and protection under law.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.HRES.XQ","Public Sector: Policy & institutions","CPIA building human resources rating (1=low to 6=high)","","Building human resources assesses the national policies and public and private sector service delivery that affect the access to and quality of health and education services, including prevention and treatment of HIV/AIDS, tuberculosis, and malaria.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.IRAI.XQ","Public Sector: Policy & institutions","IDA resource allocation index (1=low to 6=high)","","IDA Resource Allocation Index is obtained by calculating the average score for each cluster and then by averaging those scores. For each of 16 criteria countries are rated on a scale of 1 (low) to 6 (high).","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.MACR.XQ","Public Sector: Policy & institutions","CPIA macroeconomic management rating (1=low to 6=high)","","Macroeconomic management assesses the monetary, exchange rate, and aggregate demand policy framework.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.PADM.XQ","Public Sector: Policy & institutions","CPIA quality of public administration rating (1=low to 6=high)","","Quality of public administration assesses the extent to which civilian central government staff is structured to design and implement government policy and deliver services effectively.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.PRES.XQ","Public Sector: Policy & institutions","CPIA equity of public resource use rating (1=low to 6=high)","","Equity of public resource use assesses the extent to which the pattern of public expenditures and revenue collection affects the poor and is consistent with national poverty reduction priorities.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.PROP.XQ","Public Sector: Policy & institutions","CPIA property rights and rule-based governance rating (1=low to 6=high)","","Property rights and rule-based governance assess the extent to which private economic activity is facilitated by an effective legal system and rule-based governance structure in which property and contract rights are reliably respected and enforced.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.PROT.XQ","Public Sector: Policy & institutions","CPIA social protection rating (1=low to 6=high)","","Social protection and labor assess government policies in social protection and labor market regulations that reduce the risk of becoming poor, assist those who are poor to better manage further risks, and ensure a minimal level of welfare to all people.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
"IQ.CPA.PUBS.XQ","Public Sector: Policy & institutions","CPIA public sector management and institutions cluster average (1=low to 6=high)","","The public sector management and institutions cluster includes property rights and rule-based governance, quality of budgetary and financial management, efficiency of revenue mobilization, quality of public administration, and transparency, accountability, and corruption in the public sector.","","Annual","","","Unweighted average","The CPIA exercise is intended to capture the quality of a country's policies and institutional arrangements, focusing on key elements that are within the country's control, rather than on outcomes (such as economic growth rates) that are influenced by events beyond the country's control. More specifically, the CPIA measures the extent to which a country's policy and institutional framework supports sustainable growth and poverty reduction and, consequently, the effective use of development assistance.

Myanmar, Somalia and Tuvalu are not included because they were not rated in the 2011 exercise even though they are IDA eligible.","","","World Bank Group, CPIA database (http://www.worldbank.org/ida).","","","","","","",
